"pond","surface_area_m","initial_vol","slope","yint","perDD"
"H01",837,1759.05,-10.7380127073773,2064.57102364984,22.8847810858715
"H02a",2668,2737.91,-0.586985527709141,3127.29494528768,0.825869119192605
"H02b",7175,13385.01,-1.40101129544638,14862.8197987998,0.414756404465178
"H04",12170,38540.65,-242.208122132016,41142.5909495235,25.902980653026
"H05",1039,1020.77,-13.4821020120014,995.890995411225,59.5660058441549
"H06",3759,15170.81,-9.23486057183191,17033.9115460642,2.38544073721276
"H09",5039,6582.79,-22.1149135192375,6786.49247793858,14.3381311923596
"H10",4256,2500.95,-38.0761066007766,2790.31747617367,60.0415079911106
"H12",117,225.51055408971,0.596459648675106,145.471568098885,-18.0407930461469
"H21",457,229.70580474934,-4.8845254222055,226.088188327914,95.0598614489878
"H23",3042,6473.27968337731,-21.9396126224379,6176.45174679871,15.6294098126422
"H24",218,208.221635883905,-4.92695162646793,217.137594008421,99.8380186326377
"H25",636,666.99,-12.5504059301094,1136.34714436993,48.5958770311342
"H27",1714,4692.11,32.626784327568,4921.2645958348,-29.1709271561626
"H32",894,659.295514511873,-14.3970363423169,693.995385798919,91.2786470954268
"H48",3355,7295.68,-33.6277585598306,7341.55055065302,20.1540719010773
"H52",649,867.02,-6.60256265442993,829.983102717967,35.002249545029
"H53",23,40.2651715039578,-0.565962164258965,42.7501953046781,58.2508104347056
"H55",24400,31481.7941952507,-182.255699180503,37254.793973123,21.525419707669
"H99",9177,20375.845646438,15.1966095033375,20831.0438020289,-3.20987668453621
